epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7712,1.83465,2.84415,1.7092,0.36658,0.11644,0.12185,0.0355,2.25468,3.57352,1.91587,0.00065625,0.00065625,0.00065625
2,19.9999,1.84171,2.35152,1.69178,0.37763,0.22603,0.21505,0.06913,2.28107,4.84971,2.19034,0.00130982,0.00130982,0.00130982
3,29.1932,1.87013,2.11322,1.69828,0.30805,0.24658,0.21197,0.06667,2.26429,6.15899,1.99947,0.00195019,0.00195019,0.00195019
4,38.3115,1.8755,1.94535,1.71486,0.30148,0.34932,0.24096,0.0659,2.3263,2.70775,2.01787,0.0019406,0.0019406,0.0019406
5,47.4165,1.84981,1.87464,1.70705,0.50645,0.36301,0.39894,0.13286,2.39397,2.25131,2.31349,0.0019208,0.0019208,0.0019208
6,56.5,1.77797,1.77333,1.65384,0.52444,0.63014,0.57253,0.23445,2.04426,1.89457,1.91362,0.001901,0.001901,0.001901
7,66.1752,1.76939,1.66119,1.64721,0.57978,0.65068,0.59236,0.20375,1.93038,2.88968,1.88834,0.0018812,0.0018812,0.0018812
8,77.032,1.74359,1.62755,1.63627,0.63287,0.5274,0.58587,0.21514,2.02509,1.98278,1.91522,0.0018614,0.0018614,0.0018614
9,90.3303,1.71837,1.54958,1.60308,0.62864,0.60274,0.61502,0.24237,1.86987,2.04975,1.72412,0.0018416,0.0018416,0.0018416
10,103.454,1.71089,1.52629,1.57974,0.60891,0.5274,0.55473,0.24938,2.03611,1.48572,1.77594,0.0018218,0.0018218,0.0018218
11,116.584,1.6988,1.46864,1.56995,0.68856,0.58904,0.63914,0.26313,1.9434,1.43145,1.75441,0.001802,0.001802,0.001802
12,130.261,1.6667,1.41085,1.54477,0.61444,0.46575,0.48734,0.17389,2.32035,1.89407,2.34418,0.0017822,0.0017822,0.0017822
13,143.508,1.64179,1.41912,1.52529,0.67841,0.63014,0.63556,0.26252,1.98073,1.49261,1.77774,0.0017624,0.0017624,0.0017624
14,156.799,1.6117,1.32837,1.49775,0.67606,0.60039,0.65729,0.27491,1.94706,1.41375,1.819,0.0017426,0.0017426,0.0017426
15,170.64,1.59788,1.31082,1.51617,0.68462,0.62329,0.64025,0.27887,2.06693,1.44389,1.82196,0.0017228,0.0017228,0.0017228
16,183.336,1.58766,1.314,1.50046,0.75193,0.65753,0.67855,0.26942,2.04007,1.35036,1.83585,0.001703,0.001703,0.001703
17,195.179,1.56733,1.26373,1.47656,0.7189,0.52055,0.57331,0.21742,2.36771,1.69139,2.13939,0.0016832,0.0016832,0.0016832
18,207.405,1.51036,1.21052,1.44356,0.67808,0.5771,0.58898,0.24035,2.07732,1.52366,1.78722,0.0016634,0.0016634,0.0016634
19,219.484,1.5272,1.21195,1.46596,0.69467,0.57659,0.625,0.24093,2.41148,1.4365,2.23501,0.0016436,0.0016436,0.0016436
20,231.252,1.50789,1.16726,1.47237,0.78871,0.58805,0.69828,0.28502,2.01193,1.3229,1.81303,0.0016238,0.0016238,0.0016238
21,243.159,1.50613,1.15176,1.45163,0.74715,0.64384,0.70495,0.31284,1.85757,1.28133,1.75983,0.001604,0.001604,0.001604
22,255.132,1.4818,1.13076,1.44502,0.78189,0.63014,0.74153,0.29418,2.29102,1.57142,2.13104,0.0015842,0.0015842,0.0015842
23,267.28,1.48259,1.10706,1.43521,0.76144,0.66438,0.71029,0.2949,1.90311,1.31439,1.78333,0.0015644,0.0015644,0.0015644
24,279.431,1.43458,1.0548,1.39298,0.74199,0.67808,0.71927,0.32856,1.84941,1.30695,1.69399,0.0015446,0.0015446,0.0015446
25,291.344,1.44121,1.09834,1.39846,0.73333,0.59589,0.65317,0.28292,2.25471,1.42996,2.18407,0.0015248,0.0015248,0.0015248
26,303.35,1.45535,1.05492,1.40433,0.70652,0.63699,0.69545,0.30079,2.01387,1.39093,1.77356,0.001505,0.001505,0.001505
27,315.418,1.41374,1.04195,1.39765,0.76784,0.64384,0.71806,0.30289,1.85235,1.36926,1.72809,0.0014852,0.0014852,0.0014852
28,327.628,1.38938,0.99677,1.36825,0.80655,0.68493,0.72888,0.30293,1.98601,1.45469,1.80719,0.0014654,0.0014654,0.0014654
29,339.557,1.37452,0.98469,1.36508,0.71261,0.68493,0.71827,0.32559,2.04509,1.33179,1.87182,0.0014456,0.0014456,0.0014456
30,351.561,1.35303,0.95294,1.34898,0.73346,0.68493,0.7138,0.27347,2.18443,1.58296,1.93576,0.0014258,0.0014258,0.0014258
31,363.665,1.35622,0.95201,1.34454,0.72883,0.60959,0.65731,0.27201,2.14987,1.338,1.94641,0.001406,0.001406,0.001406
32,376.041,1.30554,0.92316,1.3221,0.82953,0.65068,0.73341,0.30794,2.15182,1.26048,1.97905,0.0013862,0.0013862,0.0013862
33,388.364,1.28002,0.92223,1.30404,0.72173,0.59589,0.66266,0.28297,2.22913,1.52575,2.06686,0.0013664,0.0013664,0.0013664
34,400.621,1.29723,0.91503,1.29933,0.73409,0.65068,0.72005,0.29664,1.97906,1.31642,1.80633,0.0013466,0.0013466,0.0013466
35,412.717,1.27204,0.86745,1.29337,0.78407,0.67808,0.75425,0.29337,2.09969,1.28482,2.02267,0.0013268,0.0013268,0.0013268
36,424.849,1.26163,0.87847,1.28676,0.86308,0.60446,0.71037,0.30136,2.21516,1.37258,2.05593,0.001307,0.001307,0.001307
37,437.084,1.24893,0.87666,1.27156,0.64353,0.7419,0.73595,0.31411,2.07837,1.11324,1.92974,0.0012872,0.0012872,0.0012872
38,449.858,1.21299,0.84025,1.26428,0.82361,0.63965,0.73816,0.30697,2.156,1.28447,2.0132,0.0012674,0.0012674,0.0012674
39,461.587,1.20957,0.82377,1.25421,0.69078,0.67123,0.71769,0.30049,2.40184,1.21553,2.37106,0.0012476,0.0012476,0.0012476
40,473.882,1.19122,0.81278,1.23752,0.78817,0.63014,0.72389,0.29087,2.28389,1.36495,2.17676,0.0012278,0.0012278,0.0012278
41,486.263,1.17889,0.80912,1.23231,0.68289,0.68493,0.69532,0.2895,2.10767,1.37693,1.91827,0.001208,0.001208,0.001208
42,498.8,1.17931,0.82449,1.24138,0.72829,0.71601,0.75326,0.30051,2.16112,1.16302,2.05994,0.0011882,0.0011882,0.0011882
43,511.614,1.17044,0.79347,1.22797,0.79754,0.70151,0.74953,0.31149,2.13581,1.26159,1.97414,0.0011684,0.0011684,0.0011684
44,524.219,1.15223,0.7734,1.22187,0.77425,0.73288,0.75326,0.30426,2.15969,1.27573,1.97598,0.0011486,0.0011486,0.0011486
45,536.679,1.14825,0.77885,1.21989,0.80021,0.71329,0.76806,0.32253,1.98943,1.31497,1.77515,0.0011288,0.0011288,0.0011288
46,548.954,1.09096,0.74725,1.18903,0.84479,0.63699,0.73458,0.30766,1.95701,1.13256,1.80051,0.001109,0.001109,0.001109
47,561.351,1.10255,0.75886,1.19038,0.81491,0.66345,0.74347,0.2995,2.23696,1.22974,2.15528,0.0010892,0.0010892,0.0010892
48,573.911,1.08667,0.72679,1.17321,0.80921,0.63014,0.75578,0.30737,1.9575,1.25701,1.78883,0.0010694,0.0010694,0.0010694
49,585.691,1.06707,0.7141,1.16948,0.76094,0.59589,0.70629,0.3003,1.96014,1.21801,1.80976,0.0010496,0.0010496,0.0010496
