epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.714,1.86792,2.26784,1.64739,0.49967,0.47788,0.43505,0.16086,1.49395,3.60232,1.26514,0.000332604,0.000332604,0.0670722
2,540.531,1.84416,1.98044,1.66505,0.51328,0.48673,0.44553,0.17796,1.49523,2.50979,1.27035,0.000664131,0.000664131,0.0340704
3,833.139,1.82454,1.89819,1.63152,0.52608,0.52655,0.51526,0.21695,1.40593,3.54244,1.19745,0.000988462,0.000988462,0.0010614
4,1125.96,1.78813,1.832,1.60174,0.58574,0.48175,0.52124,0.23408,1.47112,7.21569,1.22875,0.000975773,0.000975773,0.000975773
5,1419.12,1.7295,1.76062,1.5741,0.57132,0.47788,0.50979,0.22413,1.33132,5.31902,1.14803,0.000957205,0.000957205,0.000957205
6,1692.9,1.67885,1.64678,1.52612,0.69025,0.5354,0.58394,0.26028,1.42203,3.69861,1.15302,0.000933683,0.000933683,0.000933683
7,1957.66,1.67167,1.62548,1.51046,0.57831,0.61947,0.60547,0.2863,1.34426,3.88992,1.12893,0.000905463,0.000905463,0.000905463
8,2219.89,1.65691,1.57829,1.51015,0.66796,0.60177,0.63181,0.28813,1.33943,5.66526,1.1448,0.000872857,0.000872857,0.000872857
9,2481.15,1.62617,1.58813,1.49758,0.63371,0.63717,0.67682,0.30865,1.30275,4.95004,1.08254,0.00083622,0.00083622,0.00083622
10,2743.76,1.62748,1.54137,1.48866,0.71907,0.64602,0.69166,0.30976,1.33518,3.47137,1.10875,0.000795954,0.000795954,0.000795954
11,3006.58,1.59042,1.52349,1.47199,0.72484,0.59735,0.68602,0.31899,1.34866,2.02065,1.12246,0.0007525,0.0007525,0.0007525
12,3270.61,1.59554,1.44725,1.46705,0.63827,0.67257,0.71236,0.35179,1.28379,3.84899,1.07313,0.000706335,0.000706335,0.000706335
13,3533.03,1.55939,1.39834,1.4492,0.69744,0.68584,0.71523,0.32465,1.32703,2.73487,1.10093,0.000657963,0.000657963,0.000657963
14,3799.38,1.52051,1.36021,1.44042,0.70635,0.72566,0.76207,0.33953,1.31272,4.69345,1.08842,0.000607916,0.000607916,0.000607916
15,4060.81,1.50631,1.32026,1.42408,0.76678,0.65463,0.73557,0.34419,1.28566,4.59615,1.08329,0.000556742,0.000556742,0.000556742
16,4323.4,1.49006,1.28214,1.40505,0.64319,0.7019,0.68568,0.34329,1.28571,3.72406,1.08701,0.000505,0.000505,0.000505
17,4587.31,1.46434,1.24716,1.38728,0.74791,0.74336,0.75399,0.36496,1.27332,3.36615,1.07572,0.000453258,0.000453258,0.000453258
18,4847.57,1.44855,1.23877,1.39059,0.74283,0.70354,0.72896,0.36688,1.26542,2.68157,1.067,0.000402084,0.000402084,0.000402084
19,5110.27,1.42768,1.16563,1.37644,0.78597,0.68584,0.77616,0.38756,1.27164,4.1359,1.07893,0.000352037,0.000352037,0.000352037
20,5373.15,1.41666,1.16443,1.37139,0.79545,0.67107,0.7483,0.37984,1.23914,2.62391,1.04831,0.000303665,0.000303665,0.000303665
21,5630.34,1.35606,0.9909,1.29898,0.79047,0.69027,0.76083,0.3604,1.3228,2.84697,1.10318,0.0002575,0.0002575,0.0002575
22,5859.39,1.31894,0.94533,1.28288,0.83624,0.68142,0.7726,0.37448,1.27382,2.1449,1.0759,0.000214046,0.000214046,0.000214046
23,6099.55,1.27834,0.91673,1.26404,0.8545,0.73009,0.83201,0.40437,1.24282,2.32574,1.07118,0.00017378,0.00017378,0.00017378
24,6344.06,1.26698,0.85164,1.24135,0.82469,0.70771,0.78622,0.39113,1.26992,2.51395,1.08095,0.000137143,0.000137143,0.000137143
25,6584.68,1.24781,0.8314,1.23151,0.86733,0.69469,0.78945,0.40176,1.2633,2.62657,1.07854,0.000104537,0.000104537,0.000104537
26,6822.68,1.2085,0.78586,1.2161,0.82817,0.7251,0.81137,0.41089,1.24969,2.0417,1.06922,7.63174e-05,7.63174e-05,7.63174e-05
27,7063.82,1.17825,0.77591,1.20762,0.86878,0.70307,0.80573,0.41818,1.23314,2.30654,1.05876,5.2795e-05,5.2795e-05,5.2795e-05
28,7301.15,1.17897,0.77404,1.20294,0.83197,0.72566,0.81119,0.41576,1.2455,2.52998,1.06949,3.4227e-05,3.4227e-05,3.4227e-05
29,7541.17,1.16108,0.78098,1.18864,0.8861,0.69469,0.81935,0.41584,1.25258,1.97701,1.07653,2.08169e-05,2.08169e-05,2.08169e-05
30,7763.66,1.15716,0.7331,1.18112,0.85188,0.69912,0.81451,0.41692,1.24095,2.2217,1.06448,1.27117e-05,1.27117e-05,1.27117e-05
